date,variable,value,year,date20
2020-03-18,value,10.7504003347202,2020,2020-03-18
2020-03-19,value,10.4625525525464,2020,2020-03-19
2020-03-20,value,7.4472299795037,2020,2020-03-20
2020-03-21,value,14.9558740905629,2020,2020-03-21
2020-03-22,value,19.8415288026691,2020,2020-03-22
2020-03-23,value,21.4350801279237,2020,2020-03-23
2020-03-24,value,20.5064617719146,2020,2020-03-24
2020-03-25,value,21.0614065605685,2020,2020-03-25
2020-03-26,value,18.267499235166,2020,2020-03-26
2020-03-27,value,13.2764524224838,2020,2020-03-27
2020-03-28,value,11.9717783145026,2020,2020-03-28
2020-03-29,value,13.4975407092412,2020,2020-03-29
2020-03-30,value,19.32794673325,2020,2020-03-30
2020-03-31,value,20.8605371843394,2020,2020-03-31
2020-04-01,value,19.2413146341771,2020,2020-04-01
2020-04-02,value,16.355459926447,2020,2020-04-02
2020-04-03,value,13.8193899423092,2020,2020-04-03
2020-04-04,value,13.1200334673642,2020,2020-04-04
2020-04-05,value,12.0642841270755,2020,2020-04-05
2020-04-06,value,6.63863423914618,2020,2020-04-06
2020-04-07,value,5.78259863550134,2020,2020-04-07
2020-04-08,value,5.92640321145486,2020,2020-04-08
2020-04-09,value,4.07578022701258,2020,2020-04-09
2020-04-10,value,3.41687141481883,2020,2020-04-10
2020-04-11,value,3.54222132799567,2020,2020-04-11
2020-04-12,value,2.22533549097467,2020,2020-04-12
2020-04-13,value,3.72895159019673,2020,2020-04-13
2020-04-14,value,15.9710706358179,2020,2020-04-14
2020-04-15,value,13.2553526190866,2020,2020-04-15
2020-04-16,value,4.4741825173669,2020,2020-04-16
2020-04-17,value,1.48934067373638,2020,2020-04-17
2020-04-18,value,1.1089335116886,2020,2020-04-18
2020-04-19,value,5.24454439253151,2020,2020-04-19
2020-04-20,value,9.85624772713758,2020,2020-04-20
2020-04-21,value,9.06728533334546,2020,2020-04-21
2020-04-22,value,8.11061678373456,2020,2020-04-22
2020-04-23,value,5.90401888311011,2020,2020-04-23
2020-04-24,value,2.71332296813325,2020,2020-04-24
2020-04-25,value,2.42033155143869,2020,2020-04-25
2020-04-26,value,7.49785683525901,2020,2020-04-26
2020-04-27,value,3.79650675697308,2020,2020-04-27
2020-04-28,value,2.71566862949314,2020,2020-04-28
2020-04-29,value,7.13509635009244,2020,2020-04-29
2020-04-30,value,4.27231298304022,2020,2020-04-30
2020-05-01,value,5.55623664170984,2020,2020-05-01
2020-05-02,value,7.05658706333012,2020,2020-05-02
2020-05-03,value,10.9051549442904,2020,2020-05-03
2020-05-04,value,5.79731801060238,2020,2020-05-04
2020-05-05,value,9.22751869766044,2020,2020-05-05
2020-05-06,value,11.317786742031,2020,2020-05-06
2020-05-07,value,4.23426616169001,2020,2020-05-07
2020-05-08,value,0.845323206138374,2020,2020-05-08
2020-05-09,value,0.732970191776258,2020,2020-05-09
2020-05-10,value,0.933746983570318,2020,2020-05-10
2020-05-11,value,2.6202321310771,2020,2020-05-11
2020-05-12,value,13.2509369634217,2020,2020-05-12
2020-05-13,value,9.36576124154737,2020,2020-05-13
2020-05-14,value,7.38201437374796,2020,2020-05-14
2020-05-15,value,11.987643308567,2020,2020-05-15
2020-05-16,value,6.48880303697229,2020,2020-05-16
2020-05-17,value,1.90370567406353,2020,2020-05-17
2020-05-18,value,0.790550603592368,2020,2020-05-18
2020-05-19,value,1.02947395702662,2020,2020-05-19
2020-05-20,value,1.49270315350643,2020,2020-05-20
2020-05-21,value,1.22323864173218,2020,2020-05-21
2020-05-22,value,0.351305344130781,2020,2020-05-22
2020-05-23,value,0.591799536797085,2020,2020-05-23
2020-05-24,value,4.72595010527421,2020,2020-05-24
2020-05-25,value,5.8757686581129,2020,2020-05-25
2020-05-26,value,6.58791249006786,2020,2020-05-26
2020-05-27,value,3.0657867113656,2020,2020-05-27
2020-05-28,value,6.33205487642587,2020,2020-05-28
2020-05-29,value,6.2398550845207,2020,2020-05-29
2020-05-30,value,8.31256339033217,2020,2020-05-30
2020-05-31,value,10.0830606871396,2020,2020-05-31
2020-06-01,value,1.46924909317786,2020,2020-06-01
2020-06-02,value,1.16524262016845,2020,2020-06-02
2020-06-03,value,0.717684212349401,2020,2020-06-03
