year,date20,value
2020,2020-04-05,4.85131763858954
2020,2020-04-06,5.10672706815981
2020,2020-04-07,5.30969892536651
2020,2020-04-08,5.33363988710202
2020,2020-04-09,5.36898784657264
2020,2020-04-10,5.580585947859
2020,2020-04-11,5.87038116748934
2020,2020-04-12,6.22080623842254
2020,2020-04-13,6.44583602254193
2020,2020-04-14,6.32823196760386
2020,2020-04-15,6.23876938601934
2020,2020-04-16,6.32222314866785
2020,2020-04-17,6.49155837735915
2020,2020-04-18,6.82761306927958
2020,2020-04-19,7.24184446910414
2020,2020-04-20,7.63480704047877
2020,2020-04-21,8.00701114290927
2020,2020-04-22,8.41918052804925
2020,2020-04-23,8.75341618511135
2020,2020-04-24,8.97159333364584
2020,2020-04-25,9.14260299747066
2020,2020-04-26,9.29955563589811
2020,2020-04-27,9.70675130586714
2020,2020-04-28,10.233594949178
2020,2020-04-29,10.5889255194651
2020,2020-04-30,10.9168332874475
2020,2020-05-01,11.1004108128913
2020,2020-05-02,11.2256867859912
2020,2020-05-03,11.2590701389396
2020,2020-05-04,11.2859467865684
2020,2020-05-05,11.243953022654
2020,2020-05-06,11.1612863713555
2020,2020-05-07,11.166468732326
2020,2020-05-08,11.2501001530644
2020,2020-05-09,11.4267002745793
2020,2020-05-10,11.5298728295718
2020,2020-05-11,11.5919205724072
2020,2020-05-12,11.6890682035642
2020,2020-05-13,11.8000460518801
2020,2020-05-14,11.7546393948389
2020,2020-05-15,11.5087789212169
2020,2020-05-16,11.370178061235
2020,2020-05-17,11.433088622171
2020,2020-05-18,11.6457332146168
2020,2020-05-19,11.8700327565242
2020,2020-05-20,12.0301978723013
2020,2020-05-21,12.1465131501471
2020,2020-05-22,12.231586002188
2020,2020-05-23,12.3174287298796
2020,2020-05-24,12.3434165810415
2020,2020-05-25,12.3062540752273
2020,2020-05-26,12.1925400251779
2020,2020-05-27,12.2605098747494
2020,2020-05-28,12.1865309399626
2020,2020-05-29,12.1686595873617
2020,2020-05-30,12.1585846366665
2020,2020-05-31,12.1838394996845
2020,2020-06-01,12.299248268941
2020,2020-06-02,12.4793396714683
2020,2020-06-03,12.7291046436945
2020,2020-06-04,12.842123767888
2020,2020-06-05,12.7828373619755
2020,2020-06-06,12.7569277594743
2020,2020-06-07,12.7387425252504
2020,2020-06-08,12.6733940471952
2020,2020-06-09,12.9204011642147
2020,2020-06-10,13.0349882218118
2020,2020-06-11,13.1872405895568
2020,2020-06-12,13.5473434297993
2020,2020-06-13,13.8825793906951
2020,2020-06-14,13.9660191373081
2020,2020-06-15,13.9389028776512
2020,2020-06-16,13.9390300588522
2020,2020-06-17,14.004009803209
2020,2020-06-18,14.0601629056085
2020,2020-06-19,14.0523799610982
2020,2020-06-20,14.0014117243096
2020,2020-06-21,14.1036498657656
2020,2020-06-22,14.3502706341967
2020,2020-06-23,14.6280660987838
2020,2020-06-24,14.7809898527242
2020,2020-06-25,14.9611746644748
2020,2020-06-26,15.2312349571163
2020,2020-06-27,15.6170324442706
2020,2020-06-28,16.0534485269779
2020,2020-06-29,16.1338307305557
2020,2020-06-30,16.2728532774552
2020,2020-07-01,16.4406465418341
2020,2020-07-02,16.5865350367299
2020,2020-07-03,16.7287727506798
2020,2020-07-04,16.7960969571547
2020,2020-07-05,16.9894520024702
2020,2020-07-06,17.2394692776456
2020,2020-07-07,17.2862684054267
2020,2020-07-08,17.4418250231894
2020,2020-07-09,17.6341883469947
2020,2020-07-10,17.7868216720271
2020,2020-07-11,17.6103040241977
2020,2020-07-12,17.5739967443829
2020,2020-07-13,17.6030264796534
2020,2020-07-14,17.6108867936196
2020,2020-07-15,17.6082365121651
2020,2020-07-16,17.5802996491695
2020,2020-07-17,17.5476320347815
2020,2020-07-18,17.5446082996944
2020,2020-07-19,17.6296991497566
2020,2020-07-20,17.6899576321479
2020,2020-07-21,17.7392177795934
2020,2020-07-22,17.8229359792549
2020,2020-07-23,17.9521888906302
2020,2020-07-24,17.9245042387588
2020,2020-07-25,17.8298877766872
2020,2020-07-26,17.6969936627641
2020,2020-07-27,17.8257049915943
2020,2020-07-28,17.9796347644175
2020,2020-07-29,18.0035939668878
2020,2020-07-30,18.0968159204131
2020,2020-07-31,18.3109473746776
2020,2020-08-01,18.4636316360467
2020,2020-08-02,18.4319063359948
2020,2020-08-03,18.3556487834248
2020,2020-08-04,18.3235604081254
2020,2020-08-05,18.2167856300538
2020,2020-08-06,18.1605430292979
2020,2020-08-07,18.1191504767287
2020,2020-08-08,18.3697334818924
2020,2020-08-09,18.6347604408312
2020,2020-08-10,18.8809996176273
2020,2020-08-11,19.0440794356101
2020,2020-08-12,19.2171392842999
2020,2020-08-13,19.4202168890908
2020,2020-08-14,19.6155514599177
2020,2020-08-15,19.8148536929503
2020,2020-08-16,19.9162520696503
2020,2020-08-17,19.8815656137649
2020,2020-08-18,19.7913115303303
2020,2020-08-19,19.7500864463612
2020,2020-08-20,19.7706079415564
2020,2020-08-21,19.9480815967448
2020,2020-08-22,20.0416743784593
2020,2020-08-23,20.0670981538658
2020,2020-08-24,19.9446169227674
2020,2020-08-25,19.7403047816204
2020,2020-08-26,19.7029665455398
2020,2020-08-27,19.5622815352225
2020,2020-08-28,19.4091218744865
2020,2020-08-29,19.2235350976394
2020,2020-08-30,19.1083074263598
2020,2020-08-31,19.0045364492207
2020,2020-09-01,18.9510841323326
2020,2020-09-02,18.8937169071325
2020,2020-09-03,18.7319385457645
2020,2020-09-04,18.5762746773493
2020,2020-09-05,18.46515389874
2020,2020-09-06,18.2323719985143
2020,2020-09-07,17.9279523443797
2020,2020-09-08,17.7061112955081
2020,2020-09-09,17.5215392215944
2020,2020-09-10,17.4016792807825
2020,2020-09-11,17.3189515339807
2020,2020-09-12,17.2755610619158
2020,2020-09-13,17.2435867655793
2020,2020-09-14,17.2521118330185
2020,2020-09-15,17.3277736194074
2020,2020-09-16,17.3668794501632
2020,2020-09-17,17.2605582677621
2020,2020-09-18,16.9428775161988
2020,2020-09-19,16.6849054385416
2020,2020-09-20,16.5348947058084
2020,2020-09-21,16.4922301314599
2020,2020-09-22,16.4780560502126
2020,2020-09-23,16.3097210062015
2020,2020-09-24,16.2385514952375
2020,2020-09-25,15.9506986390046
2020,2020-09-26,15.566673084398
2020,2020-09-27,15.2635770437422
2020,2020-09-28,15.0483196238024
2020,2020-09-29,14.9513111336407
2020,2020-09-30,14.9000554883697
2020,2020-10-01,14.8027279625627
2020,2020-10-02,14.6628042315107
2020,2020-10-03,14.53275589907
2020,2020-10-04,14.4288129342387
2020,2020-10-05,14.3059797286342
2020,2020-10-06,14.1621639095625
2020,2020-10-07,13.9367966878695
2020,2020-10-08,13.6862129723942
2020,2020-10-09,13.4983522160185
2020,2020-10-10,13.2246035881663
2020,2020-10-11,12.7729255998514
2020,2020-10-12,12.2826575934273
2020,2020-10-13,11.7708958422601
2020,2020-10-14,11.2843416169296
2020,2020-10-15,10.8734491662741
2020,2020-10-16,10.5787289001243
2020,2020-10-17,10.3043498019892
2020,2020-10-18,10.0118895014399
2020,2020-10-19,9.67202157891841
2020,2020-10-20,9.32020357546381
2020,2020-10-21,9.08133496401043
2020,2020-10-22,8.83184322653382
2020,2020-10-23,8.79981893253958
2020,2020-10-24,8.94885285024725
2020,2020-10-25,8.99258221170472
2020,2020-10-26,9.04718054680217
2020,2020-10-27,8.91036824985471
2020,2020-10-28,8.74120339940632
2020,2020-10-29,8.60039407591778
2020,2020-10-30,8.46814504557076
2020,2020-10-31,8.28860641245066
2020,2020-11-01,8.14247224683038
2020,2020-11-02,8.23606178012163
2020,2020-11-03,8.3193246916322
2020,2020-11-04,8.27410094351748
2020,2020-11-05,8.14476508222157
2020,2020-11-06,7.88633353958936
2020,2020-11-07,7.70333883902714
2020,2020-11-08,7.65113124244115
2020,2020-11-09,7.62087935717644
2020,2020-11-10,7.59170276620085
2020,2020-11-11,7.54740912166736
2020,2020-11-12,7.51726901783189
2020,2020-11-13,7.49679094092176
2020,2020-11-14,7.47458403585437
2020,2020-11-15,7.41031865206062
2020,2020-11-16,7.38465602877153
2020,2020-11-17,7.34860984222416
2020,2020-11-18,7.22823669012349
2020,2020-11-19,7.075758895145
2020,2020-11-20,6.83983043298972
2020,2020-11-21,6.44873222983973
2020,2020-11-22,6.11985761287314
2020,2020-11-23,5.86951819517626
2020,2020-11-24,5.69056928017954
2020,2020-11-25,5.44770107701874
2020,2020-11-26,5.16998202886317
2020,2020-11-27,4.81364542172329
2020,2020-11-28,4.42898882959794
2020,2020-11-29,4.11023238399703
2020,2020-11-30,3.61103043991604
2020,2020-12-01,3.05010230598975
2020,2020-12-02,2.63760965221098
2020,2020-12-03,2.31314376931753
2020,2020-12-04,2.15416030030202
2020,2020-12-05,2.10308071692551
2020,2020-12-06,2.11569889799429
2020,2020-12-07,2.07664970464304
2020,2020-12-08,1.97578419229735
2020,2020-12-09,1.86797662418503
2020,2020-12-10,1.69831479475101
2020,2020-12-11,1.51022941340492
2020,2020-12-12,1.33530218888959
2020,2020-12-13,1.21796829814233
2020,2020-12-14,1.05690092573162
2020,2020-12-15,0.878788283025498
2020,2020-12-16,0.734529610692843
2020,2020-12-17,0.591010291306168
2020,2020-12-18,0.491348616326919
2020,2020-12-19,0.497237459625913
2020,2020-12-20,0.494377420861738
2020,2020-12-21,0.446375456621245
2020,2020-12-22,0.560885889930703
2020,2020-12-23,0.799560247055539
2020,2020-12-24,0.991085183438589
2020,2020-12-25,1.06839671050013
2020,2020-12-26,1.00405581142224
2020,2020-12-27,0.856946836212354
2020,2020-12-28,0.893081785194902
2020,2020-12-29,1.00820981757231
2020,2020-12-30,1.10876847662339
2020,2020-12-31,1.13970001347902
2021,2020-01-01,1.03451215971067
2021,2020-01-02,0.885367842373431
2021,2020-01-03,0.73018873190368
2021,2020-01-04,0.597003690595663
2021,2020-01-05,0.52476055953739
2021,2020-01-06,0.439533604612093
2021,2020-01-07,0.367455932161768
2021,2020-01-08,0.272081790828571
2021,2020-01-09,0.122150577886473
2021,2020-01-10,-0.108108149603352
2021,2020-01-11,-0.378105920603094
2021,2020-01-12,-0.580548421064118
2021,2020-01-13,-0.658249148740927
2021,2020-01-14,-0.742889390909417
2021,2020-01-15,-0.88725372830835
2021,2020-01-16,-1.05225140825714
2021,2020-01-17,-1.22916986625981
2021,2020-01-18,-1.369813311553
2021,2020-01-19,-1.55543449097994
2021,2020-01-20,-1.74837407295072
2021,2020-01-21,-1.87636788368847
2021,2020-01-22,-1.7545347221854
2021,2020-01-23,-1.57722567591859
2021,2020-01-24,-1.45040279835309
2021,2020-01-25,-1.52942922536695
2021,2020-01-26,-1.62206065200911
2021,2020-01-27,-1.70358324452166
2021,2020-01-28,-1.63160605431202
2021,2020-01-29,-1.40304182939902
2021,2020-01-30,-1.28169773410088
2021,2020-01-31,-1.33664195576402
2021,2020-02-01,-1.34346121054658
2021,2020-02-02,-1.24190020254442
2021,2020-02-03,-1.04322909572241
2021,2020-02-04,-0.749665713698412
2021,2020-02-05,-0.489543652448113
2021,2020-02-06,-0.243278277373173
2021,2020-02-07,0.0195957254377696
2021,2020-02-08,0.255701279823175
2021,2020-02-09,0.40240948196204
2021,2020-02-10,0.399989666652417
2021,2020-02-11,0.220974686437383
