date,variable,last,day,year,date20
2021-02-05,euroSuper95,1.125,36,2021,2020-02-05
2021-02-05,gasOil,1.085,36,2021,2020-02-05
2021-02-06,euroSuper95,1.125,37,2021,2020-02-06
2021-02-06,gasOil,1.085,37,2021,2020-02-06
2021-02-07,euroSuper95,1.125,38,2021,2020-02-07
2021-02-07,gasOil,1.085,38,2021,2020-02-07
2021-02-08,euroSuper95,1.143,39,2021,2020-02-08
2021-02-08,gasOil,1.101,39,2021,2020-02-08
2021-02-09,euroSuper95,1.143,40,2021,2020-02-09
2021-02-09,gasOil,1.101,40,2021,2020-02-09
2021-02-10,euroSuper95,1.143,41,2021,2020-02-10
2021-02-10,gasOil,1.101,41,2021,2020-02-10
2021-02-11,euroSuper95,1.143,42,2021,2020-02-11
2021-02-11,gasOil,1.101,42,2021,2020-02-11
2021-02-12,euroSuper95,1.143,43,2021,2020-02-12
2021-02-12,gasOil,1.101,43,2021,2020-02-12
2021-02-13,euroSuper95,1.143,44,2021,2020-02-13
2021-02-13,gasOil,1.101,44,2021,2020-02-13
2021-02-14,euroSuper95,1.143,45,2021,2020-02-14
2021-02-14,gasOil,1.101,45,2021,2020-02-14
2021-02-15,euroSuper95,1.15,46,2021,2020-02-15
2021-02-15,gasOil,1.123,46,2021,2020-02-15
2021-02-16,euroSuper95,1.15,47,2021,2020-02-16
2021-02-16,gasOil,1.123,47,2021,2020-02-16
2021-02-17,euroSuper95,1.15,48,2021,2020-02-17
2021-02-17,gasOil,1.123,48,2021,2020-02-17
2021-02-18,euroSuper95,1.15,49,2021,2020-02-18
2021-02-18,gasOil,1.123,49,2021,2020-02-18
2021-02-19,euroSuper95,1.15,50,2021,2020-02-19
2021-02-19,gasOil,1.123,50,2021,2020-02-19
2021-02-20,euroSuper95,1.15,51,2021,2020-02-20
2021-02-20,gasOil,1.123,51,2021,2020-02-20
2021-02-21,euroSuper95,1.15,52,2021,2020-02-21
2021-02-21,gasOil,1.123,52,2021,2020-02-21
2021-02-22,euroSuper95,1.166,53,2021,2020-02-22
2021-02-22,gasOil,1.135,53,2021,2020-02-22
2021-02-23,euroSuper95,1.166,54,2021,2020-02-23
2021-02-23,gasOil,1.135,54,2021,2020-02-23
2021-02-24,euroSuper95,1.166,55,2021,2020-02-24
2021-02-24,gasOil,1.135,55,2021,2020-02-24
2021-02-25,euroSuper95,1.166,56,2021,2020-02-25
2021-02-25,gasOil,1.135,56,2021,2020-02-25
2021-02-26,euroSuper95,1.166,57,2021,2020-02-26
2021-02-26,gasOil,1.135,57,2021,2020-02-26
2021-02-27,euroSuper95,1.166,58,2021,2020-02-27
2021-02-27,gasOil,1.135,58,2021,2020-02-27
2021-02-28,euroSuper95,1.166,59,2021,2020-02-28
2021-02-28,gasOil,1.135,59,2021,2020-02-28
2021-03-01,euroSuper95,1.181,60,2021,2020-03-01
2021-03-01,gasOil,1.147,60,2021,2020-03-01
2021-03-02,euroSuper95,1.181,61,2021,2020-03-02
2021-03-02,gasOil,1.147,61,2021,2020-03-02
2021-03-03,euroSuper95,1.181,62,2021,2020-03-03
2021-03-03,gasOil,1.147,62,2021,2020-03-03
2021-03-04,euroSuper95,1.181,63,2021,2020-03-04
2021-03-04,gasOil,1.147,63,2021,2020-03-04
2021-03-05,euroSuper95,1.181,64,2021,2020-03-05
2021-03-05,gasOil,1.147,64,2021,2020-03-05
2021-03-06,euroSuper95,1.181,65,2021,2020-03-06
2021-03-06,gasOil,1.147,65,2021,2020-03-06
2021-03-07,euroSuper95,1.181,66,2021,2020-03-07
2021-03-07,gasOil,1.147,66,2021,2020-03-07
2021-03-08,euroSuper95,1.196,67,2021,2020-03-08
2021-03-08,gasOil,1.156,67,2021,2020-03-08
2021-03-09,euroSuper95,1.196,68,2021,2020-03-09
2021-03-09,gasOil,1.156,68,2021,2020-03-09
2021-03-10,euroSuper95,1.196,69,2021,2020-03-10
2021-03-10,gasOil,1.156,69,2021,2020-03-10
2021-03-11,euroSuper95,1.196,70,2021,2020-03-11
2021-03-11,gasOil,1.156,70,2021,2020-03-11
2021-03-12,euroSuper95,1.196,71,2021,2020-03-12
2021-03-12,gasOil,1.156,71,2021,2020-03-12
2021-03-13,euroSuper95,1.196,72,2021,2020-03-13
2021-03-13,gasOil,1.156,72,2021,2020-03-13
2021-03-14,euroSuper95,1.196,73,2021,2020-03-14
2021-03-14,gasOil,1.156,73,2021,2020-03-14
2021-03-15,euroSuper95,1.216,74,2021,2020-03-15
2021-03-15,gasOil,1.168,74,2021,2020-03-15
2021-03-16,euroSuper95,1.216,75,2021,2020-03-16
2021-03-16,gasOil,1.168,75,2021,2020-03-16
2021-03-17,euroSuper95,1.216,76,2021,2020-03-17
2021-03-17,gasOil,1.168,76,2021,2020-03-17
2021-03-18,euroSuper95,1.216,77,2021,2020-03-18
2021-03-18,gasOil,1.168,77,2021,2020-03-18
2021-03-19,euroSuper95,1.216,78,2021,2020-03-19
2021-03-19,gasOil,1.168,78,2021,2020-03-19
2021-03-20,euroSuper95,1.216,79,2021,2020-03-20
2021-03-20,gasOil,1.168,79,2021,2020-03-20
2021-03-21,euroSuper95,1.216,80,2021,2020-03-21
2021-03-21,gasOil,1.168,80,2021,2020-03-21
2021-03-22,euroSuper95,1.209,81,2021,2020-03-22
2021-03-22,gasOil,1.163,81,2021,2020-03-22
2021-03-23,euroSuper95,1.209,82,2021,2020-03-23
2021-03-23,gasOil,1.163,82,2021,2020-03-23
2021-03-24,euroSuper95,1.209,83,2021,2020-03-24
2021-03-24,gasOil,1.163,83,2021,2020-03-24
2021-03-25,euroSuper95,1.209,84,2021,2020-03-25
