date,value
2016-02-29,0.31965277
2016-03-01,0.32967739
2016-03-02,0.323389951
2016-03-03,0.315877548
2016-03-04,0.268886491
2016-03-05,0.274098532
2016-03-06,0.318727536
2016-03-07,0.32774641
2016-03-08,0.353649378
2016-03-09,0.312421345
2016-03-10,0.308485657
2016-03-11,0.276691837
2016-03-12,0.272924655
2016-03-13,0.316042636
2016-03-14,0.357908351
2016-03-15,0.345191006
2016-03-16,0.30990481
2016-03-17,0.273708922
2016-03-18,0.247634231
2016-03-19,0.230425033
2016-03-20,0.293037599
2016-03-21,0.281028581
2016-03-22,0.297519986
2016-03-23,0.29050264
2016-03-24,0.276741303
2016-03-25,0.247681476
2016-03-26,0.237756835
2016-03-27,0.230251167
2016-03-28,0.263834382
2016-03-29,0.255316391
2016-03-30,0.211214228
2016-03-31,0.203435481
2016-04-01,0.217194238
2016-04-02,0.180386598
2016-04-03,0.178260342
2016-04-04,0.168844317
2016-04-05,0.183122282
2016-04-06,0.209133124
2016-04-07,0.220897147
2016-04-08,0.216546328
2016-04-09,0.235910228
2016-04-10,0.258047189
2016-04-11,0.231984493
2016-04-12,0.21331497
2016-04-13,0.215086863
2016-04-14,0.233310734
2016-04-15,0.194220655
2016-04-16,0.199295585
2016-04-17,0.235817413
2016-04-18,0.236717852
2016-04-19,0.221664098
2016-04-20,0.225225986
2016-04-21,0.213892893
2016-04-22,0.184877033
2016-04-23,0.218340028
2016-04-24,0.279088003
2016-04-25,0.274004412
2016-04-26,0.301623254
2016-04-27,0.298428468
2016-04-28,0.266899775
2016-04-29,0.20251323
2016-04-30,0.18857911
2016-05-01,0.212908176
2016-05-02,0.204557911
2016-05-03,0.229444492
2016-05-04,0.192350147
2016-05-05,0.176128442
2016-05-06,0.151655611
2016-05-07,0.140629415
2016-05-08,0.180193741
2016-05-09,0.15692643
2016-05-10,0.163868054
2016-05-11,0.168219246
2016-05-12,0.164440785
2016-05-13,0.145387378
2016-05-14,0.151667651
2016-05-15,0.176923592
2016-05-16,0.201377598
2016-05-17,0.18042981
2016-05-18,0.180049043
2016-05-19,0.173639522
2016-05-20,0.139300945
2016-05-21,0.11802151
2016-05-22,0.152350638
2016-05-23,0.169221798
2016-05-24,0.159097606
2016-05-25,0.124189339
2016-05-26,0.127077461
2016-05-27,0.117561271
2016-05-28,0.112676908
2016-05-29,0.133948578
2016-05-30,0.13708892
2016-05-31,0.14107972
2016-06-01,0.138833399
2016-06-02,0.12118752
2016-06-03,0.101654391
2016-06-04,0.098139593
2016-06-05,0.119001823
2016-06-06,0.12735318
2016-06-07,0.12786671
2016-06-08,0.132936854
2016-06-09,0.123349523
2016-06-10,0.103487214
2016-06-11,0.101298625
2016-06-12,0.138757352
2016-06-13,0.142101617
2016-06-14,0.137181176
2016-06-15,0.119910793
2016-06-16,0.120158538
2016-06-17,0.102933405
2016-06-18,0.10274471
2016-06-19,0.12164309
2016-06-20,0.133849549
2016-06-21,0.123533718
2016-06-22,0.143384049
2016-06-23,0.119754429
2016-06-24,0.104158636
2016-06-25,0.105451295
2016-06-26,0.125533722
2016-06-27,0.137154891
2016-06-28,0.135631948
2016-06-29,0.129601958
2016-06-30,0.11926346
2016-07-01,0.108884094
2016-07-02,0.107216828
2016-07-03,0.127042208
2016-07-04,0.137319399
2016-07-05,0.178137794
2016-07-06,0.128731256
2016-07-07,0.122776936
2016-07-08,0.118463116
2016-07-09,0.099568071
2016-07-10,0.134500984
2016-07-11,0.128283839
2016-07-12,0.122725591
2016-07-13,0.134757291
2016-07-14,0.131120678
2016-07-15,0.111811514
