date,price
2021-07-01,34.511
2021-07-02,36.323
2021-07-03,35.975
2021-07-04,35.975
2021-07-05,36.065
2021-07-06,37.416
2021-07-07,35.618
2021-07-08,34.873
2021-07-09,32.313
2021-07-10,35.94
2021-07-11,35.94
2021-07-12,35.947
2021-07-13,35.509
2021-07-14,35.329
2021-07-15,34.766
2021-07-16,34.249
2021-07-17,35.015
2021-07-18,35.015
2021-07-19,35.046
2021-07-20,36.167
2021-07-21,34.928
2021-07-22,35.843
2021-07-23,35.992
2021-07-24,35.312
2021-07-25,35.312
2021-07-26,35.263
2021-07-27,36.542
2021-07-28,37.32
2021-07-29,38.593
2021-07-30,40.236
2021-07-31,38.971
2021-08-01,38.971
2021-08-02,39.207
2021-08-03,41.474
2021-08-04,41.099
2021-08-05,41.154
2021-08-06,41.522
2021-08-07,42.429
2021-08-08,42.429
2021-08-09,42.538
2021-08-10,42.162
2021-08-11,43.712
2021-08-12,44.544
2021-08-13,45.381
2021-08-14,44.11
2021-08-15,44.11
2021-08-16,44.181
2021-08-17,46.655
2021-08-18,46.569
2021-08-19,45.279
2021-08-20,40.941
2021-08-21,40.885
2021-08-22,40.885
2021-08-23,41.009
2021-08-24,41.921
2021-08-25,44.202
2021-08-26,45.072
2021-08-27,45.165
2021-08-28,46.804
2021-08-29,46.804
2021-08-30,46.804
2021-08-31,46.895
2021-09-01,49.327
2021-09-02,51.038
2021-09-03,51.217
2021-09-04,51.416
2021-09-05,51.416
2021-09-06,51.496
2021-09-07,52.445
2021-09-08,53.158
2021-09-09,54.534
2021-09-10,55.893
2021-09-11,56.751
2021-09-12,56.751
2021-09-13,57.018
2021-09-14,60.778
2021-09-15,65.473
2021-09-16,71.701
2021-09-17,63.92
2021-09-18,63.749
2021-09-19,63.749
2021-09-20,63.948
2021-09-21,72.402
2021-09-22,73.004
2021-09-23,70.609
2021-09-24,68.744
2021-09-25,68.534
2021-09-26,68.534
2021-09-27,68.978
2021-09-28,75.47
2021-09-29,81.434
2021-09-30,82.482
2021-10-01,92.673
2021-10-02,92.763
2021-10-03,92.763
2021-10-04,93.735
2021-10-05,93.804
2021-10-06,110.571
2021-10-07,114.692
2021-10-08,97.805
2021-10-09,88.904
2021-10-10,88.904
2021-10-11,89.126
2021-10-12,85.454
2021-10-13,85.271
2021-10-14,90.283
2021-10-15,98.097
2021-10-16,94.434
2021-10-17,94.434
2021-10-18,93.987
2021-10-19,95.076
2021-10-20,90.288
2021-10-21,91.823
2021-10-22,88.511
2021-10-23,87.008
2021-10-24,87.008
2021-10-25,87.332
2021-10-26,89.612
2021-10-27,88.292
2021-10-28,86.191
2021-10-29,77.572
2021-10-30,66.423
2021-10-31,66.423
