date,variable,rm7,day,year,date20
2019-06-11,base,77984.4,162,2019,2020-06-11
2019-06-11,peak,40581.6571428571,162,2019,2020-06-11
2019-06-12,base,79104.0142857143,163,2019,2020-06-12
2019-06-12,peak,41047.5142857143,163,2019,2020-06-12
2019-06-13,base,79147.6571428571,164,2019,2020-06-13
2019-06-13,peak,41745.3428571429,164,2019,2020-06-13
2019-06-14,base,74499.0285714286,165,2019,2020-06-14
2019-06-14,peak,39778.9,165,2019,2020-06-14
2019-06-15,base,73815.8142857143,166,2019,2020-06-15
2019-06-15,peak,39636.5,166,2019,2020-06-15
2019-06-16,base,73088.7,167,2019,2020-06-16
2019-06-16,peak,39255.4142857143,167,2019,2020-06-16
2019-06-17,base,72311.1428571429,168,2019,2020-06-17
2019-06-17,peak,38851.5571428572,168,2019,2020-06-17
2019-06-18,base,69047,169,2019,2020-06-18
2019-06-18,peak,37044.5571428571,169,2019,2020-06-18
2019-06-19,base,68712.1,170,2019,2020-06-19
2019-06-19,peak,37041.3285714286,170,2019,2020-06-19
2019-06-20,base,68110.3285714286,171,2019,2020-06-20
2019-06-20,peak,35498.3,171,2019,2020-06-20
2019-06-21,base,69328.3571428571,172,2019,2020-06-21
2019-06-21,peak,35460.7857142857,172,2019,2020-06-21
2019-06-22,base,70127.4571428571,173,2019,2020-06-22
2019-06-22,peak,35686.9857142857,173,2019,2020-06-22
2019-06-23,base,70283.9714285714,174,2019,2020-06-23
2019-06-23,peak,36097.0142857143,174,2019,2020-06-23
2019-06-24,base,70479.4857142857,175,2019,2020-06-24
2019-06-24,peak,36771,175,2019,2020-06-24
2019-06-25,base,71323.7857142857,176,2019,2020-06-25
2019-06-25,peak,36981.5857142857,176,2019,2020-06-25
2019-06-26,base,72195.2428571429,177,2019,2020-06-26
2019-06-26,peak,37382.8142857143,177,2019,2020-06-26
2019-06-27,base,72410.4142857143,178,2019,2020-06-27
2019-06-27,peak,37665.5285714286,178,2019,2020-06-27
2019-06-28,base,72603.5,179,2019,2020-06-28
2019-06-28,peak,37389.8857142857,179,2019,2020-06-28
2019-06-29,base,73897.8714285714,180,2019,2020-06-29
2019-06-29,peak,37720.4285714286,180,2019,2020-06-29
2019-06-30,base,75471.3714285714,181,2019,2020-06-30
2019-06-30,peak,38525.7,181,2019,2020-06-30
2019-07-01,base,75437.6857142857,182,2019,2020-07-01
2019-07-01,peak,38816.9857142857,182,2019,2020-07-01
2019-07-02,base,75895.9142857143,183,2019,2020-07-02
2019-07-02,peak,39644.8571428572,183,2019,2020-07-02
2019-07-03,base,74195.2571428571,184,2019,2020-07-03
2019-07-03,peak,39047.1857142857,184,2019,2020-07-03
2019-07-04,base,73051.6142857143,185,2019,2020-07-04
2019-07-04,peak,38756.2857142857,185,2019,2020-07-04
2019-07-05,base,71467.4428571429,186,2019,2020-07-05
2019-07-05,peak,38177.4714285714,186,2019,2020-07-05
2019-07-06,base,70678.4714285714,187,2019,2020-07-06
2019-07-06,peak,38847.4142857143,187,2019,2020-07-06
2019-07-07,base,70714.9,188,2019,2020-07-07
2019-07-07,peak,39314.0285714286,188,2019,2020-07-07
2019-07-08,base,69324.7,189,2019,2020-07-08
2019-07-08,peak,38242.8285714286,189,2019,2020-07-08
2019-07-09,base,66793.9428571429,190,2019,2020-07-09
2019-07-09,peak,36397.9142857143,190,2019,2020-07-09
2019-07-10,base,64864.9857142857,191,2019,2020-07-10
2019-07-10,peak,34941.5857142857,191,2019,2020-07-10
2019-07-11,base,63122.8857142857,192,2019,2020-07-11
2019-07-11,peak,33732.0428571429,192,2019,2020-07-11
2019-07-12,base,62668.2857142857,193,2019,2020-07-12
2019-07-12,peak,33833.8428571429,193,2019,2020-07-12
2019-07-13,base,61291.4571428571,194,2019,2020-07-13
2019-07-13,peak,32508.4142857143,194,2019,2020-07-13
2019-07-14,base,59834.7285714286,195,2019,2020-07-14
2019-07-14,peak,31268.0285714286,195,2019,2020-07-14
2019-07-15,base,60396.3285714286,196,2019,2020-07-15
2019-07-15,peak,31650.9142857143,196,2019,2020-07-15
2019-07-16,base,61311.2142857143,197,2019,2020-07-16
2019-07-16,peak,32376.0857142857,197,2019,2020-07-16
2019-07-17,base,62653.3285714286,198,2019,2020-07-17
2019-07-17,peak,33624.8,198,2019,2020-07-17
2019-07-18,base,65400.1428571429,199,2019,2020-07-18
2019-07-18,peak,35906.3285714286,199,2019,2020-07-18
2019-07-19,base,67033.2142857143,200,2019,2020-07-19
2019-07-19,peak,36848.6857142857,200,2019,2020-07-19
2019-07-20,base,70219.8857142857,201,2019,2020-07-20
2019-07-20,peak,38850,201,2019,2020-07-20
2019-07-21,base,74370.4142857143,202,2019,2020-07-21
2019-07-21,peak,41518.7857142857,202,2019,2020-07-21
2019-07-22,base,75607.9285714286,203,2019,2020-07-22
2019-07-22,peak,42557.1428571429,203,2019,2020-07-22
2019-07-23,base,77033.6571428571,204,2019,2020-07-23
2019-07-23,peak,43507.9857142857,204,2019,2020-07-23
2019-07-24,base,78883.7428571429,205,2019,2020-07-24
2019-07-24,peak,44142.9,205,2019,2020-07-24
2019-07-25,base,78845.0714285714,206,2019,2020-07-25
2019-07-25,peak,43395.6857142857,206,2019,2020-07-25
2019-07-26,base,80080.1,207,2019,2020-07-26
2019-07-26,peak,43536.3142857143,207,2019,2020-07-26
2019-07-27,base,80154.3,208,2019,2020-07-27
2019-07-27,peak,43461.5,208,2019,2020-07-27
2019-07-28,base,77991.9,209,2019,2020-07-28
2019-07-28,peak,42032.4571428572,209,2019,2020-07-28
2019-07-29,base,76872.4714285714,210,2019,2020-07-29
2019-07-29,peak,40523.8142857143,210,2019,2020-07-29
2019-07-30,base,74555.6571428571,211,2019,2020-07-30
2019-07-30,peak,38944.5142857143,211,2019,2020-07-30
2019-07-31,base,72153.0142857143,212,2019,2020-07-31
2019-07-31,peak,37544.3714285714,212,2019,2020-07-31
2019-08-01,base,69847.5285714286,213,2019,2020-08-01
2019-08-01,peak,36797.9571428571,213,2019,2020-08-01
2019-08-02,base,66153.8142857143,214,2019,2020-08-02
2019-08-02,peak,35251.5714285714,214,2019,2020-08-02
2019-08-03,base,61248.4714285714,215,2019,2020-08-03
2019-08-03,peak,32437.8285714286,215,2019,2020-08-03
2019-08-04,base,59695.2,216,2019,2020-08-04
2019-08-04,peak,30949.9571428571,216,2019,2020-08-04
2019-08-05,base,58690.9714285714,217,2019,2020-08-05
2019-08-05,peak,30822.5285714286,217,2019,2020-08-05
2019-08-06,base,58749.9571428571,218,2019,2020-08-06
2019-08-06,peak,31224.8714285714,218,2019,2020-08-06
2019-08-07,base,59162.1571428571,219,2019,2020-08-07
